state_id,day,rs,hk,pod,far,month,year
1,2,59.4,0.2,0.6,0.5,5,2020
2,2,65.5,0.4,0.8,0.5,5,2020
3,2,71.8,0.5,0.8,0.6,5,2020
4,2,76.9,0.3,0.4,0.4,5,2020
5,2,76.9,0.5,0.7,0.4,5,2020
6,2,72.7,0.4,0.6,0.6,5,2020
7,2,78.8,0.6,0.8,0.6,5,2020
8,2,87.1,0.5,0.6,0.5,5,2020
9,2,80.5,0.5,0.6,0.6,5,2020
10,2,68,0.4,0.8,0.6,5,2020
11,2,84.6,0,1,0.2,5,2020
12,2,71.2,0.1,1,0.3,5,2020
13,2,42.3,0,1,0.6,5,2020
14,2,61.5,0.2,0.6,0.4,5,2020
15,2,44.2,0.1,0.9,0.6,5,2020
16,2,30.8,0,0.9,0.7,5,2020
17,2,60.3,0,1,0.4,5,2020
18,2,59.5,0.1,1,0.4,5,2020
19,2,65.4,0.4,0.8,0.5,5,2020
20,2,69.3,0.2,0.4,0.5,5,2020
21,2,67.4,0.2,0.4,0.6,5,2020
22,2,70.9,0.1,0.3,0.8,5,2020
23,2,85.4,0.1,0.1,0.7,5,2020
24,2,97.9,0,0,1,5,2020
25,2,100,0,0,0,5,2020
27,2,84.2,0.2,0.4,0.8,5,2020
28,2,73.7,0.5,0.8,0.8,5,2020
29,2,47.8,0.2,0.9,0.7,5,2020
30,2,34.6,-0.2,0.5,1,5,2020
31,2,53.8,0.2,1,0.5,5,2020
32,2,52.5,0,1,0.5,5,2020
33,2,57.7,0.3,0.8,0.8,5,2020
34,2,76.9,0,0.2,0.9,5,2020
35,2,60.9,0.2,0.9,0.4,5,2020
36,2,80.2,0.3,0.5,0.7,5,2020
